sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry
vdjdb_full_10542,2.4031222,7.8,1.0418645,2.3,1.0,3.7,0.9797979797979798,0.0,0.589899
vdjdb_full_10545,3.8576124,12.6,1.9134886,3.8,1.3,6.3,0.7422145328719724,0.0,1.1290658
vdjdb_full_10550,3.963592,15.3,2.633566,3.1,1.2,7.2599974,0.6489795918367347,0.0008163265306122449,1.2267755
vdjdb_full_10552,2.1674287,7.7,1.1183554,1.9,1.0,3.4599977,0.9624489795918367,0.0,0.764898
vdjdb_full_10553,4.5424557,15.0,2.495396,4.0,1.7,7.8,0.6649323621227887,0.0,2.0901146
vdjdb_full_10558,3.6703124,12.5,2.0729418,3.3,1.3,6.4,0.791015625,0.0,1.4441407
vdjdb_full_10559,3.7732248,13.6,2.2289467,3.2,1.3,6.9,0.7736686390532544,0.0,1.6926035
vdjdb_full_10560,3.1973372,10.9,1.8180612,3.0,1.2,5.5,0.8705234159779615,0.0,1.0804408
vdjdb_full_10564,4.7219725,16.1,3.1331263,4.0,1.4,9.3,0.64453125,0.0126953125,2.3783202
vdjdb_full_10565,2.5389178,6.2,0.9980858,2.5,1.2,3.8,0.9781477627471384,0.0,0.7211238
vdjdb_full_10567,3.7092595,14.5,2.6258934,2.9,1.3,7.8,0.783179012345679,0.0,2.0305557
vdjdb_full_10572,5.5027776,17.4,2.9853127,5.3,1.6,9.409997,0.45555555555555555,0.006666666666666667,2.106
vdjdb_full_10574,3.0678604,10.8,1.522532,2.8,1.2,4.9,0.9044995408631772,0.0,1.132966
vdjdb_full_10578,2.0389647,5.3,0.7337133,2.0,1.1,3.0,0.9990234375,0.0,0.43339843
vdjdb_full_10581,3.400485,10.5,1.7088838,3.1,1.4,5.8,0.8414127423822715,0.0,1.3865651
vdjdb_full_10582,4.153444,16.3,2.7998796,3.3,1.5,7.9,0.7308673469387755,0.008928571428571428,2.0410714
vdjdb_full_10583,3.2921953,11.7,1.564317,3.1,1.4,5.3,0.8782518210197711,0.0,1.1912591
vdjdb_full_10584,3.5311296,13.5,1.9561667,3.3,1.2,5.9,0.7842056932966024,0.0,1.1897153
vdjdb_full_10587,3.9261224,11.3,2.0419006,3.7,1.5,6.8,0.7273469387755102,0.0,1.340898
vdjdb_full_10589,5.561475,23.8,3.9366012,5.4,1.5,10.0,0.4625445897740785,0.039239001189060645,1.9386444
vdjdb_full_10590,4.654142,17.0,3.0673018,3.9,1.4,8.5,0.6331360946745562,0.005917159763313609,2.3976333
vdjdb_full_10593,3.142889,8.7,1.3293626,3.1,1.3,4.8,0.91,0.0,0.77555555
vdjdb_full_10594,4.4688163,16.2,2.3385446,4.2,1.5,7.4599977,0.6375510204081632,0.0008163265306122449,1.8052244
vdjdb_full_10596,3.3996663,9.0,1.4715184,3.4,1.4,5.2,0.8711111111111111,0.0,0.91
vdjdb_full_10597,3.465332,12.4,2.080363,3.1,1.3,6.5,0.8115234375,0.0,1.4611329
vdjdb_full_10599,4.3829374,12.4,2.2119992,4.3,1.4,7.2,0.584375,0.0,1.319375
vdjdb_full_10600,2.7568164,11.8,1.56521,2.5,1.2,4.5599976,0.916734693877551,0.0,0.98334694
vdjdb_full_10601,4.061341,14.6,2.420987,3.7,1.4,7.3,0.7373737373737373,0.0,1.7072543
vdjdb_full_10606,2.1591835,6.6,0.8874794,2.1,1.1,3.3,0.9885204081632653,0.0,0.5739796
vdjdb_full_10607,4.0896,13.5,2.1908252,3.7,1.5,7.1,0.7232,0.0,1.6787199
vdjdb_full_10609,2.6944444,10.2,1.4023917,2.5,1.2,4.3,0.9266666666666666,0.0,0.94399995
vdjdb_full_10610,4.359949,12.3,2.1943347,4.0,1.8,7.5,0.6492346938775511,0.0,1.625
vdjdb_full_10611,4.1311536,21.4,3.1753893,3.4,1.4,7.5,0.7455410225921522,0.02140309155766944,1.83805
vdjdb_full_10614,2.6618314,9.8,1.4936508,2.4,1.1,4.5,0.920332936979786,0.0,1.0406659
vdjdb_full_10616,2.1208117,6.3,0.93680876,1.9,1.1,3.3,0.9833506763787722,0.0,0.6274714
vdjdb_full_10617,4.248283,16.1,2.5906177,3.7,1.5,7.8,0.7273673257023934,0.003121748178980229,1.9167535
vdjdb_full_10618,3.1420395,9.3,1.5153127,2.8,1.4,5.2,0.8761706555671176,0.0,1.12154
vdjdb_full_10619,3.3336506,11.2,1.8163142,3.0,1.3,5.7,0.8555363321799307,0.0,1.3323529
vdjdb_full_10620,5.0960007,19.1,3.3340042,4.7,1.3,9.9,0.5544444444444444,0.014444444444444444,2.2155554
vdjdb_full_10621,2.6158285,7.7,1.2841436,2.4,1.1,4.45,0.9437869822485208,0.0,0.94112426
vdjdb_full_10622,3.6201873,11.4,1.9357388,3.3,1.2,6.3,0.7700312174817898,0.0,1.2849116
vdjdb_full_10625,3.9629881,16.4,2.5907037,3.3,1.4,7.1,0.7509765625,0.0029296875,1.8685546
vdjdb_full_10627,5.412207,14.1,2.787058,5.4,1.9,9.169995,0.4541015625,0.0,1.5943358
vdjdb_full_10628,3.4307618,11.2,1.6920485,3.2,1.3,5.669995,0.8388671875,0.0,1.3939453
vdjdb_full_10629,5.022059,17.4,2.9843404,4.4,1.55,9.1,0.5899653979238755,0.007785467128027681,2.4039793
vdjdb_full_10633,3.0074072,8.7,1.4064964,2.8,1.4,4.95,0.8996913580246914,0.0,0.9691358
vdjdb_full_10636,7.272009,18.1,4.4943643,6.7,1.6,13.1,0.4328824141519251,0.018730489073881373,1.8842872
vdjdb_full_10637,6.9388795,16.9,4.0222197,7.2,1.5,12.059998,0.3712,0.0112,1.1660801
vdjdb_full_10645,4.5544443,21.6,3.4649212,3.6,1.4,9.2,0.7311111111111112,0.025555555555555557,2.2493331
vdjdb_full_10646,2.855671,8.9,1.3125075,2.6,1.4,4.7,0.9209157127991675,0.0,0.94630593
vdjdb_full_10649,5.8522186,14.7,2.9099977,6.2,1.8,9.6,0.3727810650887574,0.0,1.6736685
vdjdb_full_10651,2.8447266,10.4,1.675866,2.5,1.1,5.0,0.89453125,0.0,1.2546875
vdjdb_full_10653,10.128445,26.1,7.5113893,10.9,1.3,21.219997,0.4088888888888889,0.29777777777777775,3.3057775
vdjdb_full_10659,3.3631377,19.0,3.0382898,2.4,1.2,6.1399903,0.8635204081632653,0.017857142857142856,1.8308674
vdjdb_full_10663,3.009375,13.7,2.2632704,2.3,1.2,6.5,0.8671875,0.0,1.6097656
vdjdb_full_10665,5.439239,19.2,3.4852712,4.8,1.5,9.9,0.5208085612366231,0.026159334126040427,2.3985732
vdjdb_full_10668,3.9369798,12.2,2.2167022,3.8,1.2,6.9,0.6872770511296076,0.0,1.289893
vdjdb_full_10669,4.825893,13.0,2.4128337,4.6,1.7,8.1,0.5727040816326531,0.0,1.867602
vdjdb_full_10670,3.1011937,8.7,1.2874932,3.0,1.4,4.6,0.9265381083562901,0.0,0.7944904
vdjdb_full_10676,2.5441113,9.3,1.2821244,2.4,1.1,4.0099974,0.9433333333333334,0.0,0.90244454
vdjdb_full_10677,3.1479185,11.2,1.6595248,2.8,1.4,5.1,0.8889795918367347,0.0,0.9528163
vdjdb_full_10678,4.384444,16.6,2.5904145,3.8,1.6,8.0,0.6966666666666667,0.0044444444444444444,1.9697778
vdjdb_full_10683,6.1376066,20.9,4.138386,5.1,1.6,12.2,0.48849441157133466,0.045364891518737675,2.9831693
vdjdb_full_10685,4.975837,15.0,2.9580255,4.7,1.4,9.0,0.529795918367347,0.0,1.5983673
vdjdb_full_10691,5.2103014,19.1,2.7787037,5.2,1.7,8.5,0.4599375650364204,0.006243496357960458,1.6980228
vdjdb_full_10698,3.1015553,10.0,1.4651499,2.8,1.3,5.0,0.8944444444444445,0.0,1.1191112
vdjdb_full_10699,3.7055664,14.6,1.9502901,3.5,1.4,6.1,0.80859375,0.0,1.3240235
vdjdb_full_10706,5.1540065,20.5,3.48475,5.3,1.2,8.7,0.4672216441207076,0.02081165452653486,1.9796046
vdjdb_full_10713,3.1172245,8.8,1.3130574,3.1,1.4,4.7,0.916734693877551,0.0,0.84702027
vdjdb_full_10722,5.5579433,16.9,3.6107957,4.6,1.4,11.2,0.5528007346189164,0.012855831037649219,2.490358
vdjdb_full_10728,4.4888163,11.0,2.1547322,4.7,1.4,7.2,0.5461224489795918,0.0,0.9714286
vdjdb_full_10730,3.0491154,11.7,1.6084396,2.8,1.2,4.8,0.9146722164412071,0.0,1.0027055
vdjdb_full_10740,4.323232,14.1,2.1513405,4.5,1.4,6.8,0.5876951331496786,0.0,1.1474748
vdjdb_full_10742,4.846968,17.9,2.9775887,4.6,1.3,8.5,0.5303210463733651,0.005945303210463734,1.6111772
vdjdb_full_10745,4.811328,18.5,3.0771601,4.1499996,1.6,8.969995,0.609375,0.009765625,2.2679687
vdjdb_full_10751,3.8607895,15.7,2.4733987,3.3,1.3800002,7.119995,0.7741046831955923,0.0009182736455463728,1.7219468
vdjdb_full_10763,4.911296,17.7,2.7233963,4.8,1.4,8.6,0.5362663495838288,0.0047562425683709865,1.8449465
vdjdb_full_10764,4.235528,11.6,2.3140383,4.0,1.4,7.4,0.5939643347050755,0.0,0.9879287
vdjdb_full_10781,4.2323422,17.1,2.9664996,3.3,1.2,8.7,0.7205707491082045,0.0047562425683709865,2.2649229
vdjdb_full_10797,2.8959184,9.7,1.3401247,2.8,1.3,4.5,0.929795918367347,0.0,1.0417958
vdjdb_full_10801,6.587598,18.5,4.181686,5.9,1.4,12.569995,0.3720703125,0.041015625,2.425586
vdjdb_full_10805,5.462626,17.0,3.0150082,5.2,1.4800003,9.6,0.4527089072543618,0.0027548209366391185,1.9224977
vdjdb_full_10811,4.010822,12.5,2.0209794,3.8,1.5,6.5,0.740894901144641,0.0,1.1513008
vdjdb_full_10813,2.2304847,6.8,0.9430881,2.1,1.0,3.4,0.9846938775510204,0.0,0.6405612
vdjdb_full_10825,6.8971453,22.1,4.160371,7.0,1.7,12.1,0.3728373702422145,0.03546712802768166,2.3420415
vdjdb_full_10828,5.538265,15.6,2.851448,5.4,1.7,9.2,0.41836734693877553,0.002551020408163265,1.3897959
vdjdb_full_10841,4.8203955,13.5,2.8569102,4.2,1.4,8.6,0.5400624349635796,0.0,1.1791883
vdjdb_full_10856,4.2682223,15.4,2.6851094,3.6,1.5,8.3,0.7311111111111112,0.0033333333333333335,2.2062223
vdjdb_full_10870,3.7530696,14.3,2.3031926,3.3,1.2,7.0,0.785639958376691,0.0,1.563996
vdjdb_full_10887,6.0834026,17.5,3.59382,5.8,1.6,10.9,0.4223676383105294,0.014277215942891136,2.1594288
vdjdb_full_10891,4.2941566,14.9,2.9744265,3.1,1.2,8.519995,0.6092037983929875,0.0,0.9704895
vdjdb_full_10896,6.12849,17.3,2.9533207,6.1,1.9400002,9.7,0.3551020408163265,0.004081632653061225,1.8230206
vdjdb_full_10916,4.6434007,15.8,2.6717052,4.5,1.5,8.0,0.5790725326991677,0.0035671819262782403,1.2040428
vdjdb_full_10928,5.859961,17.8,2.9799097,5.8,1.8300003,9.569995,0.3837890625,0.0068359375,1.9675782
vdjdb_full_10936,4.6093655,16.1,2.856239,4.1,1.3,8.5,0.663891779396462,0.004162330905306972,2.0341308
vdjdb_full_1096,2.548408,7.7,1.1535922,2.4,1.2,4.1,0.9510204081632653,0.0,0.84440815
vdjdb_full_10961,6.1226673,18.3,3.7085004,6.3,1.4,11.1,0.4,0.015555555555555555,2.1417778
vdjdb_full_10963,5.01258,16.6,2.8788962,4.4,1.7,9.119995,0.6033057851239669,0.0036730945821854912,2.2348945
vdjdb_full_10971,4.849128,12.9,2.8967671,4.1,1.3,8.8,0.5638200183654729,0.0,0.90964186
vdjdb_full_10975,3.6781888,10.1,1.9177929,3.85,1.2,6.0,0.7346938775510204,0.0,0.8390306
vdjdb_full_10977,4.4783177,19.5,3.2003088,3.8,1.3,8.6,0.6875,0.016975308641975308,2.1745372
vdjdb_full_10978,5.25727,14.1,2.9020221,5.4,1.4,8.769995,0.45663265306122447,0.0,1.3206631
vdjdb_full_10994,5.9227047,14.8,3.0547922,5.7,1.9,10.1,0.39413265306122447,0.0,2.0760205
vdjdb_full_10999,4.393714,15.6,2.4975255,4.0,1.4,7.7,0.6914285714285714,0.0024489795918367346,1.992653
vdjdb_full_11,4.878857,23.4,4.053516,3.7,1.3,10.3,0.6971428571428572,0.044081632653061226,2.5763266
vdjdb_full_11013,5.414613,18.3,2.957344,5.1,1.7,9.2,0.4636734693877551,0.015510204081632653,2.1996737
vdjdb_full_11016,3.913111,11.5,1.9357184,3.6,1.5900002,6.4,0.7433333333333333,0.0,1.5422223
vdjdb_full_11027,3.695755,8.4,1.5983965,3.8,1.4,5.7,0.7706122448979592,0.0,0.8788572
vdjdb_full_11029,4.458383,16.4,2.568529,4.2,1.2,7.7,0.6278240190249703,0.0023781212841854932,1.1859691
vdjdb_full_11036,4.001308,12.7,2.1811886,3.7,1.4,7.2,0.7395957193816884,0.0,1.658264
vdjdb_full_11069,5.8961263,17.2,3.3827298,5.8,1.45,10.6,0.4555785123966942,0.0025826446280991736,2.242252
vdjdb_full_11075,1.8357267,6.1,0.75093627,1.7,1.0,2.7,0.9948096885813149,0.0,0.46833912
vdjdb_full_11078,3.0338776,7.2,1.2378929,3.0,1.3,4.6,0.9330612244897959,0.0,0.7005714
vdjdb_full_11079,3.650621,13.4,2.0684493,3.2,1.4,6.4,0.7947406866325786,0.0,1.623813
vdjdb_full_11081,3.3953702,12.1,1.9408283,2.9,1.3,6.1,0.8186728395061729,0.0,1.6441358
vdjdb_full_11082,3.6266875,13.4,2.0260599,3.3,1.3,6.0,0.81125,0.0,1.4913751
vdjdb_full_11083,1.8271626,6.8,0.86392874,1.6,0.9,2.95,0.9913494809688581,0.0,0.61764705
vdjdb_full_11084,3.650621,13.4,2.0684493,3.2,1.4,6.4,0.7947406866325786,0.0,1.623813
vdjdb_full_11086,3.4483929,10.6,1.5337644,3.4,1.4,5.4,0.8503213957759412,0.0,1.0477502
vdjdb_full_11087,1.996859,5.5,0.7841921,1.9,1.1,3.1,0.9970781592403214,0.0,0.55646455
vdjdb_full_11088,3.3953702,12.1,1.9408283,2.9,1.3,6.1,0.8186728395061729,0.0,1.6441358
vdjdb_full_11089,3.965932,10.6,1.8681729,4.0,1.4,6.4,0.6942148760330579,0.0,1.1531681
vdjdb_full_11090,2.2905037,9.2,1.1864208,2.0,1.1,3.7,0.9539810080350621,0.0,0.9178963
vdjdb_full_11091,6.296676,21.9,4.088595,6.0,1.4,12.1,0.41066481994459836,0.03185595567867036,2.9587257
vdjdb_full_11094,4.9023876,16.5,2.4673986,4.6,1.8,7.9,0.5454545454545454,0.0018365472910927456,1.7812672
vdjdb_full_11100,3.790278,15.1,2.396129,3.2,1.4,7.3,0.7800925925925926,0.0007716049382716049,1.7830245
vdjdb_full_11107,3.7303631,12.4,2.073378,3.4,1.3,6.45,0.7551903114186851,0.0,1.3500001
vdjdb_full_11116,4.7203703,17.1,2.883529,4.3,1.2,8.6,0.5949074074074074,0.005401234567901234,2.002469
vdjdb_full_11122,4.655016,16.6,2.931595,4.1,1.5,8.8,0.6496913580246914,0.0038580246913580245,2.2291667
vdjdb_full_11124,4.2135034,17.1,2.6247625,3.6,1.4,7.8,0.7037037037037037,0.005401234567901234,2.0649693
vdjdb_full_11133,6.8644137,18.1,3.6207726,6.7,2.2,11.8,0.33163265306122447,0.015306122448979591,2.570153
vdjdb_full_11137,4.6663675,17.4,3.0908046,3.9,1.4,8.659998,0.556734693877551,0.004897959183673469,1.6909387
vdjdb_full_11148,4.0019774,12.7,2.2988408,3.5,1.3,7.2,0.7273673257023934,0.0,1.560666
vdjdb_full_11156,5.818612,16.6,3.111327,5.6,1.7,10.0,0.4146938775510204,0.004081632653061225,1.961143
vdjdb_full_11163,6.0742383,18.4,3.7235365,5.7,1.6,11.4,0.44113573407202217,0.018005540166204988,2.666482
vdjdb_full_11165,3.9613583,14.0,2.3449657,3.4,1.3,7.2,0.7238860482103725,0.0,1.9943025
vdjdb_full_11166,4.6498613,25.1,3.2674007,4.0,1.4,7.8,0.6551246537396122,0.019390581717451522,2.2351801
vdjdb_full_11169,3.436823,13.6,2.155982,3.0,1.2,6.3,0.8319559228650137,0.0,1.6380163
vdjdb_full_11171,3.4378893,13.0,1.9301201,3.1,1.3,5.8,0.8382352941176471,0.0,1.2737024
vdjdb_full_11175,4.202301,15.4,2.911299,3.5,1.3,8.6,0.7166337935568705,0.0006574621959237344,2.0159106
vdjdb_full_11186,7.0146685,18.8,3.7002623,7.0,2.1,12.0,0.3227040816326531,0.012755102040816327,2.3691325
vdjdb_full_11187,4.255623,13.7,2.1533656,4.0,1.5,7.1,0.698961937716263,0.0,1.5773356
vdjdb_full_11203,3.872268,10.8,1.8207816,3.7,1.5,6.3,0.751147842056933,0.0,1.3445362
vdjdb_full_11206,4.0025387,12.8,2.220715,3.9,1.3,6.9,0.7138671875,0.0,1.559375
vdjdb_full_11207,4.6942043,14.0,2.2138617,4.5,1.8,7.5,0.5828571428571429,0.0,1.5823674
vdjdb_full_11209,6.403241,19.7,4.1028395,5.7,1.5,12.3,0.4660493827160494,0.018518518518518517,2.1620371
vdjdb_full_11224,4.271886,15.6,2.5657372,3.7,1.2,7.9,0.6695501730103807,0.0017301038062283738,2.0915225
vdjdb_full_11245,6.6446877,23.1,4.426495,6.2,1.5,12.7,0.4075,0.050625,3.0313752
vdjdb_full_11261,2.8176696,8.7,1.5678545,2.5,1.2,5.0,0.8966049382716049,0.0,1.208179
vdjdb_full_11265,4.465549,14.3,2.6605299,3.9,1.5,8.4,0.6712689020381328,0.0,2.0003946
vdjdb_full_11269,3.6866326,14.4,2.1176233,3.3,1.4,6.4,0.8071585098612125,0.0,1.5363039
vdjdb_full_11274,5.324571,15.5,2.9848146,5.2,1.5,9.3,0.46448979591836737,0.0016326530612244899,2.16
vdjdb_full_1129,4.4364443,15.0,3.0531595,3.7,1.04,8.6,0.64,0.0,1.952
vdjdb_full_11305,3.6986938,11.2,2.1068785,3.4,1.2,6.5,0.7738775510204081,0.0,1.2566531
vdjdb_full_11317,4.179325,14.0,2.6581786,3.6,1.3,7.6,0.634083044982699,0.0,1.5859861
vdjdb_full_11321,5.159094,17.5,2.8669357,4.9,1.9,9.019995,0.5120525931336742,0.0029218407596785976,2.1230097
vdjdb_full_11323,3.6308987,13.3,1.9708806,3.2,1.5,6.2,0.802045288531775,0.0,1.5554421
vdjdb_full_11350,6.2975674,21.0,3.8073878,5.8,1.7,11.5,0.3990795529257068,0.026298487836949377,3.1566076
vdjdb_full_11357,6.0308595,16.6,3.0438535,5.6,2.2,10.269995,0.3935546875,0.0068359375,2.4238281
vdjdb_full_11363,5.258218,15.8,2.9362957,5.1,1.6,9.3,0.48429510591672753,0.0029218407596785976,2.0603359
vdjdb_full_11387,3.2206895,9.3,1.7287456,3.0,1.1,5.5,0.8347205707491082,0.0,1.2323424
vdjdb_full_11406,5.015997,15.1,2.727181,4.5,1.7,8.7,0.5617238860482103,0.0007304601899196494,2.166691
vdjdb_full_11416,5.7020774,23.4,4.0765014,4.5,1.7,11.7,0.5519390581717452,0.04847645429362881,2.9590027
vdjdb_full_11417,5.5386677,19.0,3.6397414,4.6,1.3,10.55,0.5337370242214533,0.02422145328719723,2.800519
vdjdb_full_11421,4.2561064,12.6,2.1893015,4.0,1.5,7.3,0.6657483930211203,0.0,1.6721764
vdjdb_full_11426,3.3785973,17.8,2.729591,2.5,1.1,6.9199953,0.8356464572680788,0.007304601899196494,1.9612856
vdjdb_full_11427,5.656408,17.3,3.342253,5.4,1.7,10.3,0.45877551020408164,0.008979591836734694,1.8963265
vdjdb_full_11433,5.353076,15.4,2.6177876,5.3,1.9,8.9,0.4628099173553719,0.0009182736455463728,1.8650137
vdjdb_full_11445,2.6135733,8.7,1.263096,2.4,1.2,4.269995,0.9439058171745153,0.0,0.83351797
vdjdb_full_11452,3.9940002,12.8,2.05399,3.7,1.5,6.8,0.73,0.0,1.4048889
vdjdb_full_11453,6.1568046,18.5,3.6856503,5.3,1.8,11.3,0.4746877054569362,0.011834319526627219,2.1408286
vdjdb_full_11466,5.4735293,16.1,3.2455332,5.0,1.5,10.0,0.4922145328719723,0.0017301038062283738,1.8543253
vdjdb_full_11485,2.5244808,6.8,1.0261617,2.4,1.2,3.8,0.9714532871972318,0.0,0.6098616
vdjdb_full_11489,6.911566,19.2,4.2100325,6.8,1.6,12.9,0.3843490304709141,0.036703601108033244,2.910111
vdjdb_full_11490,4.2676535,19.8,2.601169,3.8,1.5,7.1,0.715318869165023,0.007889546351084813,1.8105195
vdjdb_full_11492,2.6201525,8.8,1.1890088,2.4,1.2300004,4.2,0.9556786703601108,0.0,0.82285315
vdjdb_full_11494,4.4603305,17.6,3.3453264,3.4,1.4,9.6,0.7006427915518825,0.011937557392102846,2.2844813
vdjdb_full_11498,2.7390218,9.0,1.2386621,2.6,1.3,4.3,0.9417273673257024,0.0,0.8395422
vdjdb_full_11500,3.6037107,13.1,1.8669425,3.3,1.4,6.2,0.7861328125,0.0,1.4644532
vdjdb_full_11502,7.8729496,24.0,4.5854473,8.0,1.9,13.8,0.2724609375,0.072265625,3.1736329
vdjdb_full_11503,1.9905307,4.5,0.7144443,1.9,1.1,2.9,1.0,0.0,0.2765869
vdjdb_full_11504,3.2071111,10.6,1.7011611,2.9,1.3,5.7,0.8611111111111112,0.0,1.2360002
vdjdb_full_11505,4.3472223,17.1,2.6797395,3.7,1.5,8.1,0.7133333333333334,0.0044444444444444444,1.8637776
vdjdb_full_11507,3.5457857,12.7,1.8296736,3.3,1.4,5.7,0.8376690946930281,0.0,1.1748179
vdjdb_full_11510,6.710417,22.1,4.7825146,5.9,1.3,13.7,0.4035493827160494,0.07098765432098765,1.7976853
vdjdb_full_11511,5.442857,19.2,4.2880588,3.6,0.9,12.1,0.5357142857142857,0.025510204081632654,1.9102042
vdjdb_full_11516,5.4518166,19.3,3.1603167,5.4,1.5,9.1,0.4472318339100346,0.012110726643598616,1.998789
